id,Artist Name,Track Name,Popularity,duration,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,key,mode,time_signature,Class
0,RaPlt,track_1,35.0000000000,241.0800000000,0.7148698085,0.5314330340,0.7442289935,0.0390641769,0.1576305221,0.0233925938,0.6891191710,0.4532463498,0.5362056325,2.0000000000,minor,type 4,10
1,TrTi,track_1,13.0000000000,277.7880000000,0.6395523994,0.6065238939,0.7962117242,0.0173857051,0.0001767068,0.8674697465,0.2431169359,0.4977736357,0.6112476819,5.0000000000,major,type 4,9
2,Nah,track_1,21.0000000000,295.6730000000,0.5534753604,0.9889866739,0.8595243443,0.0343421335,0.0002821285,0.2660635201,0.1293304887,0.1633012323,0.5364428343,2.0000000000,major,type 4,9
3,JaSt,track_1,76.0000000000,208.0260000000,0.6944265117,0.3722404109,0.7707818622,0.0163125134,0.7259036145,0.8132528246,0.2776592502,0.5516205861,0.4824308880,7.0000000000,major,type 4,10
4,Gos,track_1,48.0000000000,274.4800000000,0.6718312890,0.6585868901,0.8544583365,0.0002146383,0.0271084337,0.0000049197,0.1364421416,0.3113803459,0.4291305473,9.0000000000,major,type 4,10
5,NaHaFeKh,track_1,45.0000000000,249.1069999800,0.7019582526,0.5284293996,0.7859050186,0.0192101309,0.7309236948,0.0530110974,0.3609671848,0.9772185979,0.4194483978,2.0000000000,major,type 4,10
6,Von,track_1,32.0000000000,197.4000000000,0.3221433183,0.8538231260,0.8311996207,0.0300493668,0.0000168675,0.8182729099,0.0856446205,0.5485140313,0.4401766076,5.0000000000,major,type 4,9
7,IdAmian,track_6,34.0000000000,263.2400000000,0.6008177319,0.4683567116,0.7879014749,0.0032195750,0.5060240964,0.0002238958,0.1100274307,0.4470332401,0.4012431535,10.0000000000,minor,type 4,10
8,BuBoyr,track_1,57.0000000000,202.1470000000,0.8235420702,0.6846183882,0.8670110554,0.0583816270,0.1556224900,0.0098082428,0.0876765214,0.2958475717,0.3853074999,2.0000000000,major,type 4,10
9,KiKuSuKa,track_1,9.0000000000,436.5870000000,0.3415106520,0.8938715846,0.8715529934,0.0856406954,0.8293172691,0.0000756025,0.3629990856,0.7649373511,0.6275607021,2.0000000000,major,type 4,4
10,RuMi,track_1,85.0000000000,183.8300000000,0.8924037013,0.7046426176,0.7803398967,0.3957930886,0.3905622490,0.0000094378,0.0543533476,0.8249974112,0.5957648682,11.0000000000,minor,type 4,10
