id,Class
0,10
1,6
2,9
3,10
4,10
5,10
6,9
7,10
8,10
9,4
10,6
11,10
12,9
13,10
14,10
15,9
16,8
17,8
18,10
19,9
20,10
21,9
22,10
23,4
24,10
25,4
26,9
27,4
28,10
29,9
30,10
31,4
32,4
33,8
34,6
35,10
36,6
37,4
38,8
39,4
40,8
41,8
42,10
43,10
44,8
45,8
46,8
47,8
48,10
49,10
50,10
51,8
52,10
53,6
54,4
55,10
56,9
57,6
58,9
59,4
60,9
61,10
62,8
63,8
64,4
65,9
66,9
67,10
68,8
69,6
70,9
71,9
72,6
73,10
74,10
75,9
76,8
77,8
78,4
79,10
80,9
81,8
82,4
83,6
84,6
85,8
86,10
87,8
88,10
89,8
90,10
91,4
92,9
93,4
94,10
95,9
96,8
97,4
98,8
99,9
100,10
101,9
102,10
103,10
104,8
105,9
106,10
107,4
108,9
109,10
110,6
111,10
112,6
113,6
114,9
115,10
116,6
117,10
118,8
119,4
120,4
121,8
122,9
123,9
124,8
125,10
126,4
127,9
128,6
129,10
130,4
131,8
132,10
133,9
134,10
135,8
136,8
137,9
138,10
139,6
140,9
141,4
142,10
143,9
144,9
145,10
146,8
147,10
148,8
149,8
150,8
151,9
152,6
153,8
154,4
155,8
156,10
157,4
158,9
159,4
160,4
161,8
162,8
163,10
164,9
165,8
166,10
167,9
168,10
169,10
170,9
171,9
172,4
173,8
174,6
175,4
176,9
177,4
178,10
179,10
180,9
181,10
182,9
183,6
184,10
185,6
186,10
187,10
188,9
189,6
190,8
191,10
192,9
193,8
194,6
195,8
196,4
197,10
198,8
199,9
200,8
201,9
202,9
203,10
204,8
205,9
206,10
207,10
208,10
209,9
210,10
211,9
212,4
213,6
214,10
215,10
216,10
217,10
218,9
219,6
220,8
221,8
222,10
223,6
224,10
225,8
226,10
227,9
228,10
229,8
230,9
231,10
232,9
233,8
234,10
235,10
236,8
237,4
238,4
239,9
240,10
241,6
242,10
243,4
244,6
245,6
246,10
247,10
248,8
249,9
250,4
251,4
252,10
253,4
254,9
255,9
256,9
257,9
258,10
259,10
260,10
261,4
262,10
263,8
264,6
265,4
266,8
267,8
268,4
269,8
270,10
271,9
272,10
273,10
274,6
275,10
276,6
277,8
278,6
279,8
280,9
281,10
282,9
283,4
284,8
285,8
286,6
287,8
288,6
289,10
290,10
291,10
292,10
293,8
294,10
295,6
296,8
297,10
298,6
299,10
300,9
301,8
302,6
303,9
304,9
305,10
306,8
307,9
308,8
309,4
310,9
311,10
312,10
313,10
314,9
315,8
316,9
317,9
318,9
319,9
320,9
321,8
322,9
323,9
324,8
325,6
326,6
327,10
328,8
329,8
330,6
331,4
332,9
333,10
334,8
335,4
336,8
337,9
338,4
339,8
340,8
341,4
342,8
343,9
344,9
345,10
346,9
347,6
348,10
349,8
350,9
351,10
352,9
353,6
354,10
355,8
356,10
357,8
358,6
359,6
360,6
361,6
362,6
363,8
364,9
365,9
366,10
367,9
368,8
369,10
370,9
371,8
372,8
373,6
374,8
375,6
376,6
377,4
378,8
379,10
380,8
381,8
382,10
383,6
384,10
385,6
386,9
387,10
388,10
389,10
390,6
391,6
392,9
393,10
394,9
395,10
396,10
397,9
398,10
399,10
400,8
401,6
402,9
403,8
404,10
405,8
406,10
407,10
408,4
409,10
410,10
411,10
412,10
413,4
414,6
415,4
416,10
417,8
418,10
419,8
420,8
421,6
422,6
423,4
424,10
