id,Artist Name,Track Name,Popularity,duration,Class
0,BrMa,track_1,60.0,234.596,6
1,De,track_1,66.0,173.968,6
2,DuAh,track_1,14.0,164.093,10
3,EyGo,track_1,34.0,206.875,10
4,HaLaBrdeLo,track_1,34.0,266.41499999999996,8
5,DuAha,track_1,14.0,179.32,10
6,EdBeZa,track_1,29.0,217.529,10
7,Da,track_1,70.0,157.693,6
8,Kr,track_1,29.0,138.0,6
9,R3,track_1,44.0,145.217,10
10,MCHa,track_1,73.0,257.36,10
11,Ra,track_1,66.0,197.16,9
12,MaGuKe,track_1,81.0,188.779,10
13,Te,track_1,49.0,247.37,9
14,Dr,track_1,42.0,193.962,6
15,ThAySi,track_1,16.0,210.22699998,8
16,MoGu,track_1,47.0,169.05799997999998,8
17,IvLi,track_1,47.0,216.695,10
18,Kv,track_1,44.0,233.929,9
19,LiNa,track_1,44.0,174.242,10
20,OmAd,track_1,37.0,205.04,10
21,ViMa,track_1,47.0,180.89500002,8
22,An,track_1,48.0,163.733,10
23,JuWR,track_1,77.0,202.193,6
24,BE,track_1,53.0,180.533,10
25,VaJa,track_1,20.0,214.73299998,4
26,ThDoPo,track_1,56.0,290.44,6
27,TrBa,track_1,35.0,176.667,6
28,SnDo,track_1,63.0,298.307,6
29,BrSpwi,track_1,41.0,284.83999998,10
30,Oc,track_1,42.0,198.345,9
31,ItLe,track_1,33.0,157.63,10
32,LeTh,track_1,41.0,229.617,9
33,Dra,track_1,81.0,298.94100000000003,10
34,ElFa,track_1,41.0,163.22400000000002,8
35,FCHe,track_1,44.0,186.812,6
36,ToThMaMa,track_1,60.0,158.0,6
37,deho,track_1,3.0,147.013,10
38,Da+Sh,track_1,71.0,148.9069998,10
39,FL,track_1,66.0,811.077,10
40,ThDaEl,track_1,47.0,309.827,9
41,EyGol,track_1,38.0,220.543,10
42,Wi,track_1,60.0,245.267,9
43,AtPr,track_1,37.0,209.833,6
44,PeRo&C.Sm,track_1,50.0,253.413,6
45,BuBa,track_1,48.0,212.927,9
46,SaMo,track_1,54.0,223.907,9
47,Fr,track_1,38.0,301.533,9
48,ToEs,track_1,41.0,344.11300002,8
49,K.J.Ye,track_1,7.0,190.87999998,4
50,LoCr,track_1,23.0,202.019,9
51,ToYe,track_1,30.0,219.625,10
52,JJLi,track_1,69.0,203.991,10
53,S.P.Ba,track_1,34.0,414.213,4
54,Gh,track_1,41.0,176.012,10
55,Gw,track_1,48.0,188.83,9
56,Do,track_1,42.0,144.267,9
57,AScLiWo,track_1,39.0,198.84,9
58,IdRaHa,track_1,55.0,221.025,10
59,ThSe,track_1,24.0,652.32,6
60,StTa,track_1,28.0,312.363,9
61,LoCa,track_1,60.0,168.654,6
62,PoMa,track_1,90.0,184.2130002,10
63,OlRo,track_1,99.0,178.1470002,10
64,Re,track_1,59.0,187.783,10
65,ChPu,track_1,75.0,196.607,10
66,RaPl,track_1,46.0,320.333,6
67,En,track_1,32.0,259.606,10
68,me,track_1,52.0,215.516,10
69,MaRo,track_1,48.0,228.493,10
70,DrDr,track_1,35.0,183.04,9
71,LaHu,track_1,10.0,66.49,6
72,AbWo,track_1,40.0,181.569,10
73,DiApRe,track_1,34.0,152.252,9
74,IcofSi,track_1,33.0,352.943,9
75,SpAd,track_1,32.0,282.978,9
76,ErB.&Ra,track_1,48.0,314.6,6
77,KaNiTaGi,track_1,78.0,154.80599999999998,10
78,DO,track_1,71.0,275.52,10
79,St&OrCh,track_1,25.0,229.933,10
80,LiRi,track_1,22.0,260.373,10
81,GuMa,track_1,43.0,216.373,6
82,LuBoPaMe,track_1,40.0,184.09399997999998,8
83,CoPi,track_1,35.0,198.213,10
84,HaNa,track_1,27.0,204.03,10
85,Am,track_1,60.0,203.373,9
86,ThAlRe,track_1,68.0,233.267,10
87,RoRoTr,track_1,38.0,138.19399998,8
88,Pe,track_1,41.0,195.699,6
89,TaMo,track_1,65.0,178.973,6
90,Al,track_1,35.0,441.035,9
91,Qu,track_1,17.0,290.6,6
92,GhIr,track_1,43.0,243.0,9
93,BiEi,track_1,77.0,158.463,10
94,BrSp,track_1,40.0,196.61299997999998,10
95,RuSq,track_1,37.0,282.067,6
96,NoCy,track_1,83.0,156.106,10
97,CaAn,track_1,39.0,183.008,9
98,Dam,track_1,49.0,171.0,6
99,Fl,track_1,20.0,266.222,9
100,Drk,track_1,87.0,178.154,6
101,TiKaBa,track_1,51.0,301.131,8
102,BrSpe,track_1,,164.53300002,10
103,ThWe,track_1,93.0,215.627,10
104,OlLu,track_1,56.0,174.921,10
105,RaAl,track_1,42.0,188.40900000000002,8
106,BlTyTyDo$i,track_1,82.0,161.6839998,10
107,ThLu,track_1,75.0,163.133,10
108,And,track_1,65.0,153.244,10
109,ThBeWeQu,track_1,40.0,271.89300000000003,8
110,Ga,track_1,42.0,303.0,9
111,ZaLa,track_1,34.0,175.305,10
112,MaMa,track_1,49.0,266.702,9
113,HaNah,track_1,40.0,228.117,6
114,AJTr,track_1,68.0,195.0,6
115,TyONe,track_1,45.0,248.333,9
116,AvLa,track_1,69.0,220.85,10
117,TeT,track_1,19.0,239.64,6
118,Vi,track_1,33.0,230.5,9
119,Ch,track_1,47.0,160.244,6
120,We,track_1,,260.35999998,10
121,PoTr,track_1,54.0,225.245,9
122,DJKh,track_1,83.0,165.366,10
123,Pa,track_1,28.0,305.052,9
124,MiKi,track_1,59.0,249.333,10
125,Tu,track_1,42.0,286.47,6
126,CoPiq,track_1,35.0,188.2,10
127,BrSpa,track_1,57.0,230.93299997999998,10
128,MiMe,track_1,15.0,177.493,10
129,EyGoa,track_1,32.0,302.466,10
130,OmAda,track_1,36.0,223.76,10
131,VaHa,track_1,39.0,321.707,9
132,Gar,track_1,39.0,352.787,9
133,CaSm,track_1,54.0,190.067,10
134,GaDoAcofStMainthFiSiNeMa,track_1,20.0,411.49300002,8
135,ATToA7,track_1,88.0,150.0529998,10
136,EyGon,track_1,33.0,216.496,10
137,YuBl,track_1,57.0,186.039,6
138,DD,track_1,50.0,186.196,6
139,IdAm,track_1,45.0,207.02,10
140,IsDa,track_1,15.0,281.477,10
141,Ghe,track_1,48.0,231.107,6
142,ShPa,track_1,57.0,219.87,4
143,Su,track_1,38.0,210.834,9
144,NiZo,track_1,55.0,153.846,8
145,JaFr,track_1,30.0,178.711,10
146,AC,track_1,59.0,259.413,9
147,LI,track_1,64.0,183.362,10
148,BT,track_1,,164.442,10
149,ShTa,track_1,29.0,252.467,10
150,2Ch,track_1,70.0,171.838,6
151,FaMi,track_1,2.0,174.724,6
152,JeZu,track_1,66.0,233.747,10
153,Je,track_1,33.0,245.48,6
154,MuLaMan,track_1,17.0,216.933,4
155,Sh,track_1,47.0,202.76,6
156,SetoSu,track_1,28.0,315.79,9
157,BaKe,track_1,80.0,225.02,6
158,LoDiCa,track_1,34.0,368.973,9
159,DebyAp,track_1,51.0,191.154,9
160,bb,track_1,67.0,141.509,10
161,TyYa,track_1,71.0,211.237,6
162,DoHa,track_1,,410.257,6
163,Lo,track_1,32.0,181.397,10
164,EyGona,track_1,31.0,242.293,10
165,DaB,track_1,56.0,178.949,6
166,SuBr,track_1,22.0,178.909,6
167,KiofAs,track_1,26.0,483.44,9
168,PoBa,track_1,51.0,182.87,6
169,Ru,track_1,73.0,183.76,10
170,Dar,track_1,33.0,281.838,9
171,MiMaI,track_1,56.0,236.549,9
172,JuBe,track_1,60.0,161.747,10
173,Sa,track_1,68.0,272.133,10
174,21Sa,track_1,80.0,195.906,6
175,Go,track_1,35.0,153.24,9
176,MoRaf,track_1,9.0,540.36,4
177,BrSpTi,track_1,,213.53500002,10
178,AtAsTuKu,track_1,54.0,236.23999998000002,4
179,OmAdm,track_1,44.0,201.5,10
180,M√Cr,track_1,71.0,270.427,10
181,RaPlo,track_1,38.0,201.173,6
182,La,track_1,83.0,197.437,10
183,IvLid,track_1,35.0,263.034,10
184,DiPe,track_1,47.0,240.667,6
185,VeOfMa,track_1,56.0,220.0,9
186,MoMag,track_1,40.0,387.936,9
187,Fl√,track_1,27.0,227.333,10
188,YSFl,track_1,48.0,143.998,6
189,Got,track_1,80.0,244.885,10
190,BuB,track_1,56.0,233.84,6
191,TO,track_1,65.0,713.192,9
192,YuAc,track_1,53.0,124.0,6
193,Ai,track_1,65.0,218.04,9
194,ThLaPo,track_1,28.0,150.867,6
195,CoOr,track_1,41.0,244.693,9
196,FoAi,track_1,50.0,224.053,10
197,Ei,track_1,28.0,247.387,9
198,ThAl,track_1,35.0,110.147,6
199,MiMes,track_1,28.0,249.852,10
200,All,track_1,35.0,176.8,9
201,ItLev,track_1,21.0,208.917,10
202,SaHa,track_1,42.0,173.824,10
203,ErEk,track_1,36.0,243.857,9
204,AC/,track_1,83.0,208.4,9
205,LaMa,track_1,3.0,153.73300002,4
206,YuDa,track_1,39.0,187.053,10
207,Vo,track_1,40.0,190.436,9
208,Ja,track_1,41.0,168.164,9
209,Mu,track_1,64.0,162.293,9
210,GrAb,track_1,7.0,190.427,10
211,CoPa,track_1,34.0,258.429,9
212,Wet,track_1,,241.60000001999998,10
213,KI,track_1,79.0,271.24,10
214,BlVi,track_1,31.0,209.667,6
215,SaHad,track_1,28.0,201.227,10
216,InWr,track_1,52.0,182.502,10
217,ItKa,track_1,20.0,286.8,10
218,ViofthSt,track_1,40.0,182.338,9
219,Se,track_1,45.0,241.267,9
220,InRi,track_1,39.0,180.58999998,8
221,LiSk,track_1,66.0,180.325,10
222,ReLiRa,track_1,48.0,203.033,6
223,OvSu,track_1,34.0,200.308,9
224,JoLu,track_1,65.0,239.702,6
225,Ma,track_1,40.0,239.84,10
226,KeJaTr,track_1,45.0,241.66699998,8
227,MiSw,track_1,28.0,101.303,6
228,PoTri,track_1,46.0,257.695,9
229,Gr,track_1,52.0,226.174,6
230,OmAdme,track_1,30.0,211.293,10
231,BiHo,track_1,61.0,192.867,6
232,JuNaGoDa,track_1,55.0,225.426,4
233,PaDr,track_1,58.0,187.96,9
234,PaRe,track_1,20.0,392.507,9
235,ImDr,track_1,63.0,303.43399998,10
236,CoCh,track_1,48.0,215.133,9
237,WiWa,track_1,33.0,235.727,9
238,Si,track_1,68.0,178.656,10
239,gabl,track_1,57.0,162.997,10
240,Sy,track_1,29.0,367.547,9
241,OmAdmer,track_1,38.0,188.241,10
242,P.,track_1,57.0,203.693,9
243,SaHaa,track_1,47.0,223.071,10
244,YuDay,track_1,33.0,234.9,10
245,ImAr,track_1,23.0,217.133,10
246,ClBr&ThBaRa,track_1,37.0,184.64,10
247,FrFo,track_1,58.0,232.6,10
248,NaofSt,track_1,39.0,253.39,9
249,L.Gu,track_1,53.0,274.107,9
250,THSC,track_1,82.0,165.978,10
251,YoStLi,track_1,86.0,215.693,6
252,IvBiTiRe,track_1,40.0,149.44999998,8
253,BeCa,track_1,12.0,203.93299998,8
254,Ye&Ye,track_1,74.0,207.755,10
255,Lu,track_1,3.0,216.341,6
256,On,track_1,34.0,278.4,9
257,KiIn,track_1,55.0,160.161,6
258,PoofCo,track_1,23.0,201.625,9
259,OmAdmer,track_2,41.0,243.187,10
260,ThMa,track_1,48.0,186.129,10
261,LPPo,track_1,78.0,156.432,10
262,JoBl,track_1,64.0,194.721,10
263,MiKiw,track_1,57.0,199.133,10
264,Sk,track_1,59.0,236.013,9
265,N.,track_1,48.0,194.973,6
266,PiSw,track_1,74.0,169.128,10
267,NT,track_1,48.0,166.699,10
268,MO,track_1,63.0,215.496,6
269,JuTi,track_1,80.0,242.733,10
270,M-,track_1,54.0,269.867,6
271,MoPe,track_1,25.0,244.187,10
272,Bo,track_1,10.0,252.84,9
273,MoPer,track_1,32.0,218.478,10
274,Im,track_1,45.0,326.16,9
275,ReQu,track_1,55.0,206.46499998,8
276,OzOs,track_1,55.0,225.027,9
277,se,track_1,50.0,219.32,10
278,Tr,track_1,35.0,311.267,9
279,At,track_1,57.0,211.875,9
280,Mau,track_1,22.0,315.856,9
281,DaMa,track_1,42.0,243.193,10
282,P!,track_1,82.0,242.733,10
283,GwBr,track_1,10.0,136.867,6
284,EyGonal,track_1,43.0,170.0,10
285,YuMa,track_1,32.0,202.206,6
286,NiMi,track_1,80.0,339.506,10
287,Ki,track_1,63.0,198.924,10
288,PoMal,track_1,88.0,215.28,10
289,CoDi,track_1,45.0,216.0,9
290,◊ò◊ê,track_1,13.0,306.902,10
291,AfThBu,track_1,50.0,252.469,9
292,Th19,track_1,73.0,347.526,10
293,JaBu,track_1,62.0,208.402,10
294,MaBoM.,track_1,89.0,186.21,10
295,HaJa,track_1,32.0,216.367,10
296,ShSh,track_1,54.0,137.64,6
297,C.Ra,track_1,1.0,158.35999998,4
298,St,track_1,76.0,166.356,10
299,Mi,track_1,44.0,366.427,9
300,BeBa,track_1,45.0,181.39,10
301,FCHee,track_1,,223.977,6
302,JaSiBa,track_1,44.0,202.90399998,8
303,Fu,track_1,48.0,236.867,10
304,SK,track_1,54.0,160.4,9
305,AmVeBe,track_1,50.0,221.235,10
306,"ThKiLAPoG,StGa",track_1,83.0,216.0,10
307,Anr,track_1,39.0,273.566,9
308,YeAl,track_1,46.0,214.0,10
309,TWXL,track_1,49.0,190.487,10
310,Maz,track_1,31.0,207.915,10
311,YuDaa,track_1,29.0,198.693,10
312,Def,track_1,34.0,216.913,9
313,BrMaAn.PSiSo,track_1,77.0,203.1229998,10
314,TyLe,track_1,27.0,174.378,9
315,Nu,track_1,32.0,220.4,10
316,DoCa,track_1,98.0,208.867,6
317,LyMo,track_1,46.0,281.84,9
318,EdBeZak,track_1,29.0,267.747,10
