ID,Brand,Tipe,CPU,RAM,Memori,GPU,SistemOperasi,Berat,Layar,Harga
0,Pulse,,Intel Core i3 7100U 2.4GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.4kg,13.3inch IPS Panel Full HD 1920x1080,16258268.0
1,Pulse,Notebook,Intel Core i7 6500U 2.5GHz,4GB,1.0TB Hybrid,Intel HD Graphics 520,Gemini 2,2.32kg,15.6inch Full HD 1920x1080,14133900.0
2,Zenith,2 in 1 Convertible,,8GB,256GB SSD,Intel HD Graphics 520,Gemini 5,1.6kg,13.3inch IPS Panel Full HD / Touchscreen 1920x1080,13517319.32
3,Vivid,Notebook,,4GB,500GB HDD,Intel HD Graphics 400,No OS,1.86kg,15.6inch 1366x768,4437188.0
4,Zenith,Notebook,Intel Core i3 6006U 2GHz,,500GB HDD,Nvidia GeForce GTX 940MX,Gemini 5,2.2kg,15.6inch 1366x768,8034908.0
5,Pulse,Notebook,Intel Core i5 6300HQ 2.3GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,Gemini 5,2.6kg,15.6inch IPS Panel Full HD 1920x1080,13517148.0
6,Pulse,Notebook,Intel Core i3 7100U 2.4GHz,4GB,180GB SSD,Intel HD Graphics 620,Gemini 5,1.44kg,13.3inch IPS Panel Full HD 1920x1080,12592020.0
7,Vivid,Workstation,Intel Xeon E3-1535M v5 2.9GHz,16GB,256GB SSD,Nvidia Quadro M2000M,Gemini 2,3kg,17.3inch IPS Panel Full HD 1920x1080,75192348.0
8,Traverse,Ultrabook,Intel Core i7 6600U 2.6GHz,8GB,256GB SSD,,Gemini 5,1.47kg,14.0inch IPS Panel Full HD 1920x1080,29552700.0
9,Pulse,,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.44kg,13.3inch IPS Panel Full HD 1920x1080,16446720.0
10,Zenith,Gaming,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,Gemini 5,2.5kg,15.6inch IPS Panel Full HD 1920x1080,14493672.0
11,Traverse,Ultrabook,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Intel HD Graphics 620,Gemini 5,1.24kg,14.0inch Full HD / Touchscreen 1920x1080,31951180.0
12,Pulse,Notebook,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,Gemini 5,1.9kg,14.0inch IPS Panel Full HD 1920x1080,18365504.0
13,Eclipse,Notebook,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,AMD Radeon 520,Penguin OS,2.2kg,15.6inch Full HD 1920x1080,11604360.2
14,Stellar,Gaming,Intel Core i7 6700HQ 2.6GHz,8GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,Gemini 5,2.591kg,15.6inch IPS Panel Full HD 1920x1080,15572988.0
15,Vivid,Notebook,Intel Core M 6Y54 1.1GHz,8GB,256GB SSD,Intel HD Graphics 515,Gemini 5,1.16kg,13.3inch Quad HD+ / Touchscreen 3200x1800,29107268.0
16,Eclipse,Notebook,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 620,Penguin OS,1.98kg,15.6inch Full HD 1920x1080,12437832.0
17,Stellar,Gaming,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Gemini 5,2.3kg,15.6inch IPS Panel Full HD 1920x1080,28353460.0
18,Vivid,Notebook,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 620,Gemini 5,2.04kg,15.6inch 1366x768,16772228.0
19,Eclipse,Ultrabook,Intel Core i7 7600U 2.8GHz,8GB,256GB SSD,Intel HD Graphics 620,Penguin OS,1.6kg,14.0inch Full HD 1920x1080,18828068.0
20,Pulse,Notebook,Intel Core i3 6006U 2GHz,8GB,256GB SSD,Nvidia GeForce 920MX ,No OS,2.2kg,15.6inch 1366x768,8548868.0
21,Pulse,Ultrabook,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Intel HD Graphics 620,Gemini 5,1.7kg,14.0inch Full HD 1920x1080,39386468.0
22,Pulse,Notebook,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.58kg,14.0inch IPS Panel Full HD 1920x1080,25355360.0
23,Eclipse,Ultrabook,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.29kg,13.3inch Quad HD+ / Touchscreen 3200x1800,27822368.0
24,Eclipse,Gaming,Intel Core i5 7300HQ 2.5GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Gemini 5,2.65kg,15.6inch Full HD 1920x1080,17114868.0
25,Pulse,2 in 1 Convertible,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Intel UHD Graphics 620,Gemini 5,1.4kg,13.9inch IPS Panel 4K Ultra HD / Touchscreen 3840x2160,35960068.0
26,Pulse,Notebook,Intel Celeron Dual Core N3060 1.6GHz,2GB,32GB Flash Storage,Intel HD Graphics 400,Gemini 5,1.42kg,14.0inch 1366x768,4265868.0
27,Vivid,Notebook,Intel Celeron Dual Core N3060 1.6GHz,4GB,1TB HDD,Intel HD Graphics 400,No OS,1.86kg,15.6inch 1366x768,4949434.8
