iter	RMSE
0	11585898.41
1	11433591.44
2	11294111.17
3	11160400.86
4	11010257.19
5	10850080.92
6	10700123.01
7	10587048.38
8	10479892.77
9	10369152.3
10	10239527.14
11	10131122.58
12	10001814.31
13	9882044.826
14	9764718.605
15	9673202.739
16	9577004.82
17	9461034.504
18	9381019.818
19	9294253.447
20	9196699.547
21	9114835.874
22	9035922.385
23	8968216.804
24	8877318.187
25	8811007.479
26	8735030.659
27	8690849.732
28	8619335.702
29	8554795.72
30	8483117.274
31	8421852.146
32	8353759.035
33	8293369.495
34	8248188.938
35	8187627.016
36	8124090.195
37	8080675.092
38	8034993.563
39	7990589.729
40	7936881.795
41	7926842.313
42	7878593.944
43	7840333.364
44	7788201.465
45	7735210.465
46	7688492.991
47	7641865.685
48	7610108.747
49	7575246.34
50	7566710.484
51	7533688.923
52	7496193.19
53	7460411.269
54	7424442.04
55	7387816.097
56	7351622.557
57	7316898.075
58	7284781.286
59	7255995.12
60	7239899.487
61	7208244.413
62	7174544.285
63	7149001.421
64	7122160.776
65	7112534.914
66	7078810.551
67	7053133.866
68	7025121.297
69	7007495.134
70	6981903.791
71	6964282.193
72	6938204.052
73	6920974.526
74	6893908.839
75	6879117.812
76	6855440.318
77	6824652.583
78	6808553.063
79	6800971.466
80	6778003.101
81	6752702.75
82	6737088.152
83	6714953.599
84	6686928.09
85	6679975.136
86	6661398.617
87	6640323.77
88	6634198.553
89	6628771.499
90	6608542.92
91	6591069.153
92	6572518.826
93	6554234.478
94	6536285.745
95	6527327.599
96	6501890.547
97	6489049.478
98	6477328.453
99	6470931.342
100	6463336.921
101	6445998.912
102	6441926.748
103	6423274.58
104	6410791.748
105	6389342.791
106	6383135.79
107	6370790.768
108	6351756.095
109	6338947.331
110	6322466.212
111	6300166.648
112	6286953.496
113	6270552.122
114	6255404.124
115	6242588.626
116	6225582.678
117	6205536.487
118	6189335.84
119	6178011.061
120	6167015.778
121	6144150.949
122	6130812.619
123	6117820.019
124	6104171.347
125	6091728.35
126	6082884.75
127	6070099.718
128	6057611.139
129	6044278.448
130	6039125.348
131	6024903.735
132	6009058.218
133	5993622.42
134	5983761.23
135	5972081.298
136	5961496.624
137	5947616.058
138	5936682.196
139	5933440.6
140	5922411.027
141	5918056.152
142	5905568.9
143	5898318.272
144	5890583.701
145	5880782.445
146	5871177.914
147	5858859.699
148	5842490.358
149	5829541.235
150	5823052.504
151	5817274.347
152	5807982.095
153	5796698.218
154	5789599.081
155	5782335.673
156	5770541.326
157	5760458.189
158	5751935.627
159	5741629.108
160	5737431.24
161	5721678.915
162	5708702.922
163	5703207.16
164	5687382.003
165	5678019.118
166	5674023.495
167	5666742.489
168	5657588.891
169	5645306.547
170	5638949.716
171	5634500.196
172	5631024.776
173	5617783.846
174	5606111.819
175	5598657.174
176	5595358.77
177	5591033.857
178	5586124.91
179	5575361.117
180	5568345.21
181	5564181.392
182	5560838.604
183	5558073.558
184	5547025.237
185	5532177.903
186	5523463.031
187	5514100.858
188	5510103.665
189	5500657.547
190	5498049.621
191	5486764.901
192	5483674.905
193	5481176.797
194	5472902.493
195	5464477.693
196	5461126.391
197	5452601.748
198	5448371.943
199	5440996.957
200	5432036.556
201	5425257.477
202	5419859.084
203	5412738.488
204	5408324.11
205	5402474.723
206	5393026.657
207	5388051.872
208	5385000.415
209	5381520.925
210	5372475.837
211	5364129.786
212	5361083.73
213	5348433.918
214	5343373.679
215	5338408.315
216	5333925.653
217	5330488.1
218	5324019.356
219	5316282.919
220	5309237.766
221	5305997.099
222	5303268.764
223	5299667.5
224	5290032.778
225	5284265.467
226	5273727.923
227	5265130.216
228	5261208.399
229	5257219.242
230	5247693.336
231	5240384.194
232	5230720.271
233	5220563.877
234	5210481.5
235	5204263.602
236	5201047.071
237	5196464.144
238	5193458.188
239	5185631.816
240	5177333.345
241	5169211.885
242	5165670.073
243	5161847.732
244	5151091.043
245	5141901.372
246	5138645.007
247	5135550.713
248	5127109.563
249	5120405.378
250	5117392.648
251	5113128.027
252	5107565.767
253	5104381.399
254	5101410.899
255	5092927.836
256	5085220.889
257	5082295.002
258	5073848.042
259	5070727.11
260	5064118.653
261	5059901.033
262	5051568.567
263	5048480.097
264	5038520.241
265	5031867.429
266	5028651.785
267	5025712.96
268	5018641.107
269	5014656.857
270	5004058.832
271	5001095.399
272	4992184.403
273	4986852.902
274	4978738.341
275	4971121.928
276	4964600.873
277	4961786.539
278	4953992.306
279	4944888.67
280	4942064.361
281	4939356.363
282	4931625.934
283	4925286.892
284	4922555.949
285	4919922.809
286	4917331.671
287	4910122.185
288	4904042.871
289	4895501.472
290	4892880.306
291	4885727.635
292	4877841.085
293	4870474.502
294	4864469.42
295	4859325.996
296	4856859.473
297	4851180.234
298	4842658.78
299	4835399.582
300	4826754.4
301	4824180.3
302	4814421.226
303	4805159.598
304	4802967.509
305	4800479.29
306	4798027.095
307	4789728.696
308	4787462.764
309	4785207.523
310	4782848.732
311	4777834.005
312	4775604.553
313	4770329.182
314	4768101.09
315	4763076.954
316	4754360.885
317	4752162.468
318	4745968.822
319	4743803.674
320	4738738.539
321	4736277.21
322	4730738.858
323	4722394.942
324	4714820.616
325	4712724.475
326	4705978.684
327	4697960.909
328	4695905.642
329	4688229.175
330	4683507.608
331	4681439.444
332	4679341.133
333	4674716.462
334	4668095.618
335	4666110.476
336	4658508.773
337	4654078.355
338	4652035.312
339	4650010.157
340	4641623.978
341	4630856.855
342	4623990.234
343	4622002.296
344	4614522.912
345	4612726.559
346	4606906.055
347	4602405.153
348	4595895.383
349	4593965.888
350	4585598.158
351	4583588.185
352	4578849.209
353	4569297.165
354	4567522.877
355	4563006.009
356	4561218.312
357	4552126.031
358	4546241.088
359	4544534.966
360	4540350.686
361	4534926.702
362	4528406.032
363	4526230.948
364	4519473.817
365	4515540.049
366	4509957.287
367	4501511.766
368	4499858.722
369	4492681.676
370	4491005.736
371	4485753.845
372	4483193.695
373	4478563.969
374	4473483.923
375	4471802.789
376	4464073.104
377	4455366.936
378	4453706.876
379	4447889.12
380	4442172.803
381	4436253.405
382	4430882.453
383	4427049.109
384	4424238.249
385	4417020.638
386	4411955.289
387	4406341.786
388	4400490.325
389	4396943.372
390	4393208.946
391	4391596.622
392	4387084.895
393	4381334.14
394	4377553.997
395	4375526.583
396	4367763.647
397	4362776.473
398	4359533.895
399	4352043.732
400	4346281.489
401	4340822.69
402	4337499.612
403	4332252.258
404	4327886.486
405	4322027.707
406	4320187.926
407	4314848.414
408	4310083.692
409	4306589.581
410	4305283.01
411	4301421.108
412	4292612.636
413	4290816.886
414	4282943.616
415	4276136.943
416	4271537.891
417	4270062.491
418	4266829.491
419	4263566.109
420	4262209.728
421	4259420.845
422	4255387.792
423	4251830.904
424	4248793.199
425	4245430.285
426	4242372.208
427	4236882.595
428	4235444.376
429	4234127.803
430	4229702.221
431	4226574.251
432	4223981.522
433	4222681.329
434	4216911.945
435	4215633.619
436	4213088.874
437	4210323.485
438	4199706.335
439	4193899.506
440	4189570.649
441	4187048.703
442	4185693.686
443	4183226.077
444	4180375.775
445	4176299.1
446	4172003.706
447	4168027.213
448	4163818.953
449	4159914.768
450	4155844.399
451	4152228.25
452	4150779.235
453	4148444.827
454	4147120.865
455	4144542.135
456	4140701.541
457	4135609.839
458	4131448.741
459	4127703.906
460	4125259.012
461	4120423.439
462	4119118.024
463	4111509.585
464	4107947.788
465	4100670.258
466	4094934.159
467	4093631.449
468	4091593.446
469	4086987.611
470	4085710.526
471	4084342.957
472	4081829.643
473	4074877.341
474	4073623.748
475	4068695.69
476	4062991.076
477	4057098.429
478	4053435.115
479	4051175.411
480	4043021.927
481	4041795.658
482	4039578.833
483	4035424.087
484	4033346.316
485	4029719.401
486	4024364.516
487	4023150.695
488	4018339.416
489	4013841.189
490	4007108.932
491	4003424.762
492	3999291.063
493	3996973.397
494	3992072.185
495	3990875.812
496	3986468.24
497	3985294.309
498	3984133.266
499	3981933.716
500	3977583.791
501	3973934.979
502	3972336.403
503	3968150.582
504	3967004.361
505	3961833.986
506	3957487.531
507	3954748.543
508	3951116.001
509	3945791.856
510	3944197.411
511	3940883.044
512	3939677.181
513	3938675.92
514	3933759.407
515	3931557.115
516	3930361.648
517	3927210.463
518	3925558.449
519	3923267.581
520	3921139.225
521	3917220.728
522	3911488.768
523	3903990.81
524	3901016.181
525	3899512.657
526	3896264.143
527	3890619.603
528	3884465.13
529	3882699.448
530	3881561.961
531	3879529.696
532	3877669.239
533	3875607.51
534	3870700.273
535	3869105.574
536	3866977.704
537	3865351.496
538	3864254.529
539	3859015.332
540	3856351.701
541	3854208.874
542	3848996.035
543	3847397.62
544	3843853.979
545	3840486.732
546	3833078.096
547	3828764.049
548	3826791.881
549	3822486.271
550	3821391.373
551	3816498.491
552	3815002.732
553	3813921.804
554	3809149.744
555	3803455.074
556	3800095.653
557	3798886.293
558	3793465.334
559	3791910.634
560	3789932.122
561	3785699.701
562	3783038.233
563	3781224.737
564	3779944.787
565	3778945.977
566	3777370.844
567	3775656.759
568	3772677.561
569	3770235.973
570	3766332.194
571	3764599.2
572	3760288.314
573	3758782
574	3755990.038
575	3752488.714
576	3748298.987
577	3744975.244
578	3743828.55
579	3739766.146
580	3737911.013
581	3729755.043
582	3727512.958
583	3726233.961
584	3724499.518
585	3720195.415
586	3717007.989
587	3713249.764
588	3711869.948
589	3707935.724
590	3705944.673
591	3704964.311
592	3700513.275
593	3697948.168
594	3696980.706
595	3694472.381
596	3693465.466
597	3689890.579
598	3688951.448
599	3687404.261
600	3686423.13
601	3683563.275
602	3681414.448
603	3680051.344
604	3678559.987
605	3675814.111
606	3672544.122
607	3670206.549
608	3668210.693
609	3664787.043
610	3663870.228
611	3662966.451
612	3659208.19
613	3657325.503
614	3655664.157
615	3652244.102
616	3649197.174
617	3645919.246
618	3643498.787
619	3640293.061
620	3634579.179
621	3628917.405
622	3627149.497
623	3626207.482
624	3625325.967
625	3621674.729
626	3620229.704
627	3617912.944
628	3613983.427
629	3613110.072
630	3612040.389
631	3608948.333
632	3605643.072
633	3604236.852
634	3599685
635	3598063.451
636	3595713.063
637	3593647.455
638	3590496.843
639	3587415.98
640	3585988.96
641	3584227.576
642	3582772.95
643	3581857.537
644	3581007.11
645	3578455.56
646	3573669.605
647	3570640.244
648	3567395.196
649	3565948.443
650	3564548.975
651	3562116.238
652	3561220.505
653	3558339.708
654	3557109.223
655	3554822.002
656	3553982.693
657	3550589.202
658	3549809.908
659	3547799.056
660	3546776.586
661	3545957.558
662	3541443.019
663	3540630.326
664	3538352.829
665	3536875.685
666	3534356.471
667	3530665.249
668	3529907.177
669	3524877.149
670	3523077.557
671	3520749.629
672	3519934.129
673	3519134.115
674	3517884.729
675	3513405.652
676	3511712.911
677	3508318.675
678	3507159.342
679	3504042.901
680	3501443.077
681	3497537.782
682	3494103.544
683	3492831.639
684	3492040.503
685	3491246.59
686	3490462.912
687	3489543.349
688	3487096.906
689	3484722.168
690	3483952.501
691	3479262.409
692	3478180.505
693	3476319.817
694	3474243.823
695	3472884.526
696	3469983.65
697	3468913.569
698	3466341.007
699	3465483.41
700	3463734.907
701	3462380.437
702	3461673.241
703	3460171.304
704	3459421.975
705	3458682.698
706	3457558.829
707	3454891.745
708	3452187.871
709	3451377.571
710	3450499.187
711	3446646.509
712	3445252.849
713	3444442.142
714	3442148.601
715	3439393.968
716	3433943.495
717	3433253.685
718	3432116.668
719	3425871.904
720	3424807.323
721	3423960.75
722	3423300.173
723	3421158.93
724	3420317.635
725	3418632.02
726	3416173.163
727	3414919.456
728	3412687.231
729	3410144.223
730	3408155.228
731	3401723.655
732	3400532.091
733	3399269.192
734	3396943.852
735	3395840.882
736	3395069.062
737	3394003.28
738	3391570.836
739	3387990.353
740	3381862.377
741	3379575.767
742	3378834.771
743	3378076.043
744	3376632.356
745	3375206.454
746	3373864.986
747	3373087.261
748	3372119.521
749	3370536.218
750	3369785.879
751	3369098.116
752	3367903.256
753	3365030.105
754	3360359.848
755	3359548.68
756	3358720.482
757	3357901.503
758	3357078.494
759	3356313.847
760	3355516.851
761	3354736.241
762	3351366.933
763	3350656.825
764	3349934.25
765	3348401.719
766	3347632.593
767	3346858.961
768	3344555.372
769	3340443.369
770	3339670.656
771	3338930.936
772	3338287.34
773	3337605.294
774	3336882.646
775	3336158.922
776	3335555.357
777	3334904.666
778	3334115.209
779	3332493.209
780	3331786.357
781	3330751.078
782	3330061.922
783	3329378.761
784	3326126.528
785	3325482.668
786	3324799.94
787	3324045.726
788	3323425.841
789	3322803.768
790	3321913.436
791	3321229.849
792	3315737.807
793	3315135.606
794	3314482.54
795	3313527.417
796	3311490.054
797	3310688.473
798	3310046.247
799	3308119.905
800	3306986.919
801	3306403.193
802	3305381.731
803	3303930.181
804	3303295.126
805	3301606.621
806	3300977.204
807	3298444.974
808	3296692.397
809	3290277.191
810	3286905.714
811	3285520.593
812	3283232.65
813	3282151.137
814	3281425.44
815	3277783.846
816	3275032.794
817	3270674.408
818	3270062.438
819	3266766.532
820	3264525.798
821	3262605.873
822	3261987.013
823	3260624.318
824	3256879.555
825	3254682.584
826	3250518.214
827	3249467.64
828	3245311.743
829	3244690.029
830	3243707.013
831	3240662.465
832	3237579.109
833	3237045.875
834	3234006.237
835	3229730.35
836	3229122.574
837	3228550.951
838	3227217.512
839	3226558.341
840	3225632.589
841	3224225.284
842	3221679.196
843	3217246.562
844	3212735.073
845	3211725.171
846	3209839.062
847	3209238.955
848	3208531.746
849	3207176.673
850	3204044.54
851	3203422.507
852	3200451.271
853	3199098.076
854	3198200.41
855	3197652.747
856	3196955.499
857	3195981.754
858	3195372.005
859	3193803.888
860	3192932.625
861	3188378.446
862	3187106.632
863	3186095.272
864	3182104.942
865	3181514.771
866	3180597.426
867	3179434.623
868	3174717.495
869	3173855.067
870	3173269.671
871	3171891.703
872	3168041.131
873	3165458.475
874	3164430.429
875	3163459.56
876	3162874.31
877	3162084.931
878	3161506.215
879	3159480.794
880	3157431.634
881	3154437.918
882	3153389.855
883	3150643.305
884	3149416.497
885	3146909.078
886	3144101.802
887	3141668.282
888	3140005.338
889	3138819.185
890	3138247.904
891	3133689.908
892	3131320.711
893	3129423.113
894	3127133.668
895	3126508.631
896	3125277.01
897	3124680.099
898	3124044.52
899	3122540.802
900	3120720.235
901	3120165.126
902	3119613.43
903	3119036.869
904	3118013.955
905	3114327.869
906	3113749.568
907	3112013.063
908	3111408.803
909	3109213.544
910	3105270.595
911	3103034.021
912	3102393.652
913	3101842.996
914	3099387.827
915	3097897.321
916	3095516.344
917	3094618.344
918	3093824.851
919	3093287.195
920	3088917.95
921	3086355.016
922	3084258.797
923	3082295.816
924	3081508.211
925	3079611.044
926	3074366.813
927	3072904.721
928	3070735.303
929	3069844.762
930	3067676.48
931	3066504.652
932	3064594.027
933	3063767.063
934	3063233.219
935	3061145.868
936	3059958.748
937	3059190.186
938	3058558.005
939	3057934.662
940	3056509.996
941	3055984.185
942	3054813.111
943	3053517.232
944	3051041.461
945	3050490.746
946	3047954.683
947	3046827.231
948	3045702.392
949	3043969.774
950	3041649.437
951	3040499.004
952	3039482.722
953	3038443.52
954	3034394.1
955	3033865.22
956	3032981.322
957	3032053.785
958	3029290.028
959	3026777.103
960	3025567.73
961	3025046.878
962	3022594.005
963	3021647.972
964	3020101.423
965	3019578.842
966	3019065.945
967	3016599.996
968	3014227.193
969	3012173.975
970	3011303.218
971	3010293.372
972	3008730.477
973	3007750.905
974	3005562.581
975	3004306.252
976	2999071.254
977	2998554.741
978	2997700.579
979	2995759.316
980	2994449.585
981	2993594.018
982	2993083.992
983	2992090.025
984	2988635.125
985	2987129.519
986	2986549.651
987	2984145.258
988	2982476.28
989	2980339.864
990	2979742.327
991	2978604.242
992	2975659.077
993	2975162.037
994	2974452.517
995	2973596.493
996	2973102.313
997	2972059.642
998	2971125.2
999	2969280.366
