iter	Passed	Remaining
0	158	157866
1	163	81473
2	169	56338
3	174	43342
4	179	35749
5	185	30753
6	191	27160
7	196	24389
8	202	22243
9	206	20478
10	211	18988
11	216	17821
12	221	16799
13	225	15913
14	232	15243
15	236	14552
16	241	13956
17	246	13430
18	250	12937
19	254	12480
20	258	12068
21	263	11718
22	267	11367
23	271	11040
24	276	10776
25	280	10515
26	284	10245
27	288	10005
28	292	9795
29	297	9611
30	301	9418
31	305	9236
32	310	9090
33	314	8930
34	318	8770
35	322	8632
36	328	8546
37	333	8440
38	339	8369
39	344	8278
40	349	8173
41	355	8105
42	360	8020
43	365	7939
44	371	7883
45	376	7801
46	380	7724
47	386	7658
48	390	7587
49	395	7509
50	399	7434
51	405	7384
52	409	7319
53	413	7250
54	418	7197
55	423	7134
56	427	7066
57	431	7005
58	437	6972
59	441	6919
60	446	6869
61	451	6829
62	455	6777
63	459	6725
64	465	6689
65	469	6649
66	474	6607
67	480	6581
68	485	6545
69	489	6503
70	494	6466
71	499	6439
72	503	6395
73	507	6356
74	512	6324
75	517	6290
76	521	6250
77	525	6215
78	530	6189
79	535	6160
80	540	6130
81	545	6109
82	549	6074
83	554	6042
84	558	6014
85	563	5989
86	567	5957
87	572	5929
88	577	5907
89	581	5877
90	585	5853
91	590	5830
92	595	5804
93	598	5772
94	602	5742
95	607	5717
96	610	5687
97	614	5659
98	618	5631
99	623	5610
100	627	5582
101	631	5556
102	634	5526
103	639	5506
104	642	5478
105	646	5454
106	650	5426
107	654	5407
108	658	5381
109	662	5357
110	665	5333
111	670	5317
112	674	5294
113	678	5271
114	681	5247
115	686	5228
116	689	5206
117	693	5183
118	697	5162
119	701	5143
120	705	5125
121	709	5103
122	713	5083
123	717	5065
124	721	5050
125	725	5031
126	729	5012
127	733	4996
128	737	4979
129	741	4960
130	744	4940
131	749	4926
132	753	4910
133	756	4891
134	760	4873
135	765	4862
136	769	4845
137	772	4827
138	776	4809
139	780	4794
140	784	4779
141	788	4762
142	791	4744
143	795	4728
144	800	4723
145	805	4713
146	810	4700
147	815	4693
148	819	4680
149	823	4665
150	829	4663
151	834	4656
152	839	4645
153	843	4633
154	847	4621
155	850	4603
156	854	4588
157	860	4587
158	864	4572
159	867	4556
160	871	4539
161	875	4528
162	879	4514
163	882	4497
164	886	4484
165	889	4470
166	894	4460
167	897	4447
168	902	4436
169	906	4423
170	910	4414
171	914	4401
172	918	4388
173	922	4378
174	927	4371
175	931	4361
176	938	4361
177	942	4353
178	948	4348
179	952	4341
180	958	4339
181	965	4338
182	970	4332
183	975	4326
184	980	4321
185	985	4314
186	989	4303
187	993	4289
188	995	4272
189	998	4257
190	1004	4254
191	1007	4241
192	1011	4228
193	1013	4210
194	1017	4200
195	1021	4189
196	1024	4177
197	1028	4166
198	1033	4159
199	1037	4151
200	1042	4142
201	1045	4131
202	1050	4126
203	1054	4115
204	1058	4104
205	1062	4094
206	1066	4087
207	1070	4077
208	1074	4067
209	1079	4059
210	1083	4053
211	1087	4043
212	1092	4035
213	1097	4030
214	1101	4022
215	1106	4015
216	1111	4009
217	1115	4001
218	1119	3991
219	1123	3981
220	1127	3973
221	1131	3965
222	1135	3955
223	1141	3954
224	1147	3952
225	1151	3944
226	1155	3935
227	1160	3930
228	1164	3921
229	1168	3913
230	1172	3904
231	1178	3899
232	1182	3893
233	1188	3890
234	1193	3885
235	1197	3877
236	1201	3869
237	1206	3863
238	1210	3855
239	1214	3846
240	1218	3837
241	1223	3830
242	1227	3824
243	1231	3815
244	1235	3807
245	1240	3802
246	1245	3796
247	1248	3786
248	1253	3780
249	1259	3777
250	1264	3773
251	1270	3771
252	1275	3766
253	1280	3760
254	1284	3751
255	1291	3752
256	1295	3744
257	1299	3737
258	1305	3734
259	1309	3726
260	1313	3718
261	1318	3712
262	1322	3705
263	1326	3697
264	1330	3691
265	1335	3685
266	1339	3677
267	1343	3669
268	1347	3661
269	1352	3655
270	1356	3647
271	1359	3639
272	1363	3631
273	1368	3624
274	1371	3616
275	1375	3608
276	1379	3601
277	1384	3595
278	1388	3588
279	1392	3579
280	1396	3572
281	1400	3566
282	1404	3558
283	1408	3550
284	1412	3543
285	1416	3536
286	1420	3528
287	1424	3520
288	1428	3514
289	1432	3507
290	1436	3499
291	1440	3491
292	1444	3484
293	1448	3477
294	1451	3469
295	1455	3462
296	1459	3454
297	1463	3447
298	1467	3439
299	1470	3431
300	1474	3423
301	1478	3418
302	1482	3410
303	1486	3402
304	1489	3395
305	1494	3389
306	1497	3381
